Turboveg releve number,Field releve number,Modified releve number for plot map,Date (year/month/day),Year plot surveyed,Dataset,Surveyed by (PI of project),lat,lon,System for plant community name,Plant community name,Habitat Type,Number of species,Ancillary data available,Cover abundance scale,image_url1,image_url2,image_url3,"species - these are the dataset taxa, not the PASL taxa"
40,SWT-40,40,19890809,1989,Toolik Lake vegetation (Walker and Barry 1991),Donald A. 'Skip' Walker,68.632818,-149.6384,Field Name,Dryas integrifolia-Dicranum sp.,Aquatic grass  marshes (Arctophila fulva),62,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-40_plot.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-40_soils.jpg,,"Alectoria ochroleuca, Arctagrostis latifolia, Asahinea chrysantha, Astragalus umbellatus, Aulacomnium turgidum, Bistorta plumosa, Bistorta vivipara, Bryocaulon divergens, Carex bigelowii, Carex capillaris, Carex scirpoidea, Carex species, Carex vaginata, Cassiope tetragona [s. tetragona], Cetraria islandica, Cladonia amaurocraea, Cladonia arbuscula s. lat., Cladonia gracilis s. lat., Cladonia pyxidata, Cladonia rangiferina, Dactylina arctica, Dicranum groenlandicum, Draba species, Dryas integrifolia, Equisetum arvense, Eriophorum triste, Flavocetraria cucullata, Flavocetraria nivalis, Geum glaciale, Hypnum bambergeri, Hypogymnia subobscura, Lagotis glauca s. minor, Lecanora epibryon, Luzula nivalis, Luzula wahlenbergii, Masonhalea richardsonii, Minuartia arctica, Oncophorus wahlenbergii, Oxytropis maydelliana, Pedicularis capitata, Pedicularis lanata, Pedicularis oederi, Peltigera aphthosa, Peltigera canina, Pertusaria dactylina, Polytrichum strictum, Potentilla biflora, Racomitrium lanuginosum, Rhododendron lapponicum, Rhododendron tomentosum s. decumbens, Rhytidium rugosum, Salix arctica, Salix reticulata, Saussurea angustifolia, Silene acaulis, Sphaerophorus globosus, Thamnolia vermicularis s. subuliformis, Tofieldia pusilla, Tomentypnum nitens, Trichostomum arcticum, Vaccinium uliginosum, Vulpicida tilesii"
41,SWT-41,41,19890809,1989,Toolik Lake vegetation (Walker and Barry 1991),Donald A. 'Skip' Walker,68.632743,-149.638637,Braun-Blanquet Name,Dryado integrifoliae-Caricetum bigelowii equisetosum arvensis Walker et al. 1994,"Dry acidic prostrate-shrub heaths (Arctous alpina, Salix phlebophylla, Empetrum heaths)",50,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-41_plot.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-41_plotclose-up.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-41_soils.jpg,"Alectoria ochroleuca, Arctous rubra, Asahinea chrysantha, Aulacomnium turgidum, Bistorta vivipara, Campylium stellatum, Carex atrofusca, Carex bigelowii, Carex membranacea, Carex scirpoidea, Catoscopium nigritum, Cetraria islandica, Cladonia arbuscula s. lat., Cladonia coccifera s. lat., Cladonia rangiferina, Cyrtomnium hymenophyllum, Dicranum groenlandicum, Distichium capillaceum, Ditrichum flexicaule, Dryas integrifolia, Equisetum arvense, Eriophorum triste, Flavocetraria cucullata, Flavocetraria nivalis, Hylocomium splendens, Lagotis glauca s. minor, Lecanora epibryon, Masonhalea richardsonii, Meesia uliginosa, Oncophorus wahlenbergii, Packera heterophylla, Papaver macounii, Pedicularis capitata, Pedicularis lanata, Pedicularis oederi, Peltigera aphthosa, Pertusaria dactylina, Polytrichum strictum, Ptilidium ciliare, Rhododendron lapponicum, Rhytidium rugosum, Salix arctica, Salix reticulata, Sphaerophorus globosus, Sphenolobus minutus, Tephroseris frigida, Thalictrum alpinum, Thamnolia vermicularis s. subuliformis, Tofieldia coccinea, Tomentypnum nitens"
42,SWT-42,42,19890808,1989,Toolik Lake vegetation (Walker and Barry 1991),Donald A. 'Skip' Walker,68.632136,-149.636867,Braun-Blanquet Name,Dryado integrifoliae-Caricetum bigelowii caricetosum membranaceae Walker et al. 1994,"Moist and dry acidic dwarf-shrub heaths (Vaccinium uliginosum, Empetrum nigrum, Ledum decumbens, some Betula nana-lichen heaths)",57,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-42_plot.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-42_plotclose-up.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-42_soils.jpg,"Anemone parviflora, Arctagrostis latifolia, Arctous rubra, Asahinea chrysantha, Aulacomnium acuminatum, Aulacomnium turgidum, Barbilophozia barbata, Betula nana, Bistorta vivipara, Bryum pseudotriquetrum, Campylium stellatum, Carex aquatilis, Carex bigelowii, Carex membranacea, Cetraria islandica, Cinclidium latifolium, Cinclidium subrotundum, Cladonia amaurocraea, Cladonia arbuscula s. lat., Cladonia pleurota, Cladonia pyxidata, Cladonia rangiferina, Cladonia subfurcata, Dactylina arctica, Dicranum groenlandicum, Dicranum spadiceum, Dryas integrifolia, Empetrum nigrum, Eriophorum triste, Eriophorum vaginatum, Flavocetraria cucullata, Flavocetraria nivalis, Hylocomium splendens, Hypnum bambergeri, Orthilia obtusata, Pedicularis capitata, Pedicularis labradorica, Pedicularis lanata, Pedicularis oederi, Peltigera aphthosa, Peltigera polydactylon, Pertusaria dactylina, Polytrichum strictum, Potentilla biflora, Ptilidium ciliare, Pyrola grandiflora, Rhododendron lapponicum, Rhytidium rugosum, Salix arctica, Salix reticulata, Saussurea angustifolia, Saxifraga hirculus s. propinqua, Stellaria longipes taxon laeta, Thamnolia vermicularis s. subuliformis, Tofieldia pusilla, Tomentypnum nitens, Vaccinium uliginosum"
43,SWT-43,43,19890809,1989,Toolik Lake vegetation (Walker and Barry 1991),Donald A. 'Skip' Walker,68.632521,-149.637464,Braun-Blanquet Name,Dryado integrifoliae-Caricetum bigelowii caricetosum membranaceae Walker et al. 1994,Dry nonacidic alpine tundra (Dryas octopetala),60,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-43_plot.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-43_plotclose-up.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-43_soils.jpg,"Arctagrostis latifolia, Arctous rubra, Asahinea chrysantha, Aulacomnium palustre, Aulacomnium turgidum, Bistorta plumosa, Bistorta vivipara, Campylium stellatum, Carex bigelowii, Carex capillaris, Carex membranacea, Carex rariflora, Catoscopium nigritum, Cetraria islandica, Cladonia amaurocraea, Cladonia arbuscula s. lat., Cladonia gracilis s. lat., Cladonia pyxidata, Cladonia rangiferina, Dicranum spadiceum, Distichium capillaceum, Ditrichum flexicaule, Dryas integrifolia, Equisetum arvense, Eriophorum triste, Eriophorum vaginatum, Flavocetraria cucullata, Flavocetraria nivalis, Hylocomium splendens, Hypnum bambergeri, Juncus biglumis, Lagotis glauca s. minor, Limprichtia revolvens, Masonhalea richardsonii, Minuartia arctica, Oncophorus wahlenbergii, Packera heterophylla, Papaver macounii, Pedicularis capitata, Pedicularis lanata, Pedicularis oederi, Peltigera aphthosa, Pertusaria dactylina, Pertusaria species, Potentilla biflora, Protopannaria pezizoides, Ptilidium ciliare, Racomitrium lanuginosum, Rhododendron lapponicum, Rhytidium rugosum, Salix arctica, Salix reticulata, Saussurea angustifolia, Sphaerophorus globosus, Tephroseris frigida, Thalictrum alpinum, Thamnolia vermicularis s. subuliformis, Tofieldia coccinea, Tomentypnum nitens, Tortella tortuosa"
44,SWT-44,44,19890809,1989,Toolik Lake vegetation (Walker and Barry 1991),Donald A. 'Skip' Walker,68.633409,-149.640686,Field Name,Dryas integrifolia-Dicranum sp.,"Moist and dry acidic dwarf-shrub heaths (Vaccinium uliginosum, Empetrum nigrum, Ledum decumbens, some Betula nana-lichen heaths)",66,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-44_plot.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-44_plotclose-up.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-44_soils.jpg,"Asahinea chrysantha, Astragalus umbellatus, Aulacomnium palustre, Aulacomnium turgidum, Biatora vernalis, Bryocaulon divergens, Carex bigelowii, Carex capillaris, Carex fuliginosa s. misandra, Carex scirpoidea, Cassiope tetragona [s. tetragona], Cetraria islandica, Cladonia arbuscula s. lat., Cladonia pocillum, Cladonia pyxidata, Dactylina arctica, Dicranum spadiceum, Distichium capillaceum, Ditrichum flexicaule, Draba species, Dryas integrifolia, Equisetum arvense, Equisetum scirpoides, Equisetum variegatum s. variegatum, Fissidens osmundoides, Flavocetraria cucullata, Flavocetraria nivalis, Frullania tamarisci, Geum glaciale, Hypnum bambergeri, Juncus biglumis, Kobresia myosuroides, Luzula nivalis, Masonhalea richardsonii, Minuartia arctica, Orthothecium chryseum, Oxytropis maydelliana, Papaver macounii, Pedicularis lanata, Pedicularis oederi, Peltigera aphthosa, Peltigera canina, Pertusaria dactylina, Polytrichum strictum, Potentilla biflora, Ptilidium ciliare, Racomitrium lanuginosum, Radula prolifera, Rhododendron lapponicum, Rhytidium rugosum, Salix arctica, Salix reticulata, Sanionia uncinata, Saussurea angustifolia, Saxifraga hirculus s. propinqua, Schadonia fecunda, Silene acaulis, Solorina bispora, Stereocaulon tomentosum, Thamnolia vermicularis s. subuliformis, Tofieldia coccinea, Tofieldia pusilla, Tomentypnum nitens, Trichostomum arcticum, Vaccinium uliginosum, Vulpicida tilesii"
45,SWT-45,45,19890808,1989,Toolik Lake vegetation (Walker and Barry 1991),Donald A. 'Skip' Walker,68.63357,-149.640329,Braun-Blanquet Name,Dryado integrifoliae-Caricetum bigelowii equisetosum arvensis Walker et al. 1994,Moist nonacidic tundra (Sedge-Dryas-Tomentypnum communities),64,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-45_plot.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-45_plotclose-up.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-45_soils.jpg,"Anemone parviflora, Arctagrostis latifolia, Asahinea chrysantha, Aulacomnium acuminatum, Aulacomnium palustre, Barbilophozia barbata, Bistorta plumosa, Bistorta vivipara, Bryum species, Campylium stellatum, Carex bigelowii, Cassiope tetragona [s. tetragona], Catoscopium nigritum, Cetraria islandica, Cetraria laevigata, Cladonia arbuscula s. lat., Cladonia macrophylla, Cladonia pyxidata, Cladonia rangiferina, Cladonia species, Dactylina arctica, Dicranum spadiceum, Distichium capillaceum, Ditrichum flexicaule, Draba alpina, Dryas integrifolia, Equisetum arvense, Equisetum scirpoides, Eriophorum triste, Eriophorum vaginatum, Festuca altaica, Flavocetraria cucullata, Flavocetraria nivalis, Gentiana prostrata, Geum glaciale, Hylocomium splendens, Hypnum bambergeri, Hypnum cupressiforme, Masonhalea richardsonii, Meesia uliginosa, Montia vassilievii s. vassilievii, Nephroma expallidum, Oncophorus wahlenbergii, Packera heterophylla, Pedicularis capitata, Pedicularis lanata, Pedicularis oederi, Peltigera aphthosa, Peltigera didactyla s.lat., Polytrichum juniperinum, Potentilla biflora, Ptilidium ciliare, Pyrola grandiflora, Rhododendron lapponicum, Rhytidium rugosum, Salix arctica, Salix reticulata, Saussurea angustifolia, Stereocaulon tomentosum, Thalictrum alpinum, Thamnolia vermicularis s. subuliformis, Tofieldia pusilla, Tomentypnum nitens, Vaccinium uliginosum"
46,SWT-46,46,19890809,1989,Toolik Lake vegetation (Walker and Barry 1991),Donald A. 'Skip' Walker,68.633624,-149.643365,Braun-Blanquet Name,Selaginello sibiricae-Dryadetum octopetalae Walker et al. 1994,"Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",53,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-46_plot.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-46_plotclose-up.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-46_soils.jpg,"Alectoria ochroleuca, Arctous alpina, Asahinea chrysantha, Astragalus umbellatus, Aulacomnium turgidum, Bistorta plumosa, Bryocaulon divergens, Calamagrostis inexpansa, Cassiope tetragona [s. tetragona], Cetraria islandica, Cladonia amaurocraea, Cladonia arbuscula s. lat., Cladonia chlorophaea, Cladonia coccifera s. lat., Cladonia gracilis s. lat., Cladonia pyxidata, Cladonia rangiferina, Cladonia subfurcata, Cladonia uncialis, Dactylina arctica, Diapensia obovata, Dicranum groenlandicum, Dryas octopetala, Equisetum arvense, Flavocetraria cucullata, Flavocetraria nivalis, Geum glaciale, Hypogymnia subobscura, Luzula confusa, Luzula multiflora, Masonhalea richardsonii, Micranthes nelsoniana, Ochrolechia frigida, Oxytropis maydelliana, Pedicularis capitata, Pedicularis lanata, Peltigera canina, Pertusaria dactylina, Poa arctica s. lanata, Polytrichum piliferum, Polytrichum strictum, Psoroma hypnorum, Rhododendron lapponicum, Rhytidium rugosum, Salix phlebophylla, Saussurea angustifolia, Sphaerophorus globosus, Sphenolobus minutus, Stellaria longipes taxon laeta, Thamnolia vermicularis s. subuliformis, Tofieldia coccinea, Vaccinium uliginosum, Vaccinium vitis-idaea s. minus"
47,SWT-47,47,19890810,1989,Toolik Lake vegetation (Walker and Barry 1991),Donald A. 'Skip' Walker,68.634719,-149.6385,Braun-Blanquet Name,Selaginello sibiricae-Dryadetum octopetalae Walker et al. 1994,Willow shrub vegetation of riparian areas and warm habitats (south-facing slopes),56,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-47_plot.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-47_soils.jpg,,"Alectoria ochroleuca, Anemone lithophila, Antennaria friesiana, Arnica angustifolia s. alpina, Artemisia arctica, Asahinea chrysantha, Bistorta vivipara, Bryocaulon divergens, Bryum species, Bupleurum triradiatum, Calamagrostis purpurascens s. purpurascens, Caloplaca species, Carex capillaris, Carex rupestris, Cetraria nigricans, Cladonia amaurocraea, Cladonia pyxidata, Cladonia species, Cladonia subfurcata, Dicranum groenlandicum, Draba species, Dryas octopetala, Encalypta rhaptocarpa, Erigeron hyperboreus, Festuca baffinensis, Flavocetraria cucullata, Flavocetraria nivalis, Gowardia nigricans, Hypogymnia subobscura, Lecanora epibryon, Luzula confusa, Melanohalea septentrionalis, Minuartia obtusiloba, Nephroma expallidum, Oxytropis maydelliana, Oxytropis nigrescens, Oxytropis varians, Pedicularis capitata, Pedicularis lanata, Peltigera aphthosa, Peltigera canina, Pertusaria species, Poa arctica, Poa arctica s. lanata, Poa glauca, Polytrichum piliferum, Polytrichum strictum, Racomitrium lanuginosum, Rhytidium rugosum, Salix phlebophylla, Selaginella sibirica, Sphaerophorus globosus, Thalictrum alpinum, Thamnolia vermicularis s. subuliformis, Tortella fragilis, Vulpicida tilesii"
48,SWT-48,48,19890809,1989,Toolik Lake vegetation (Walker and Barry 1991),Donald A. 'Skip' Walker,68.634786,-149.637239,Field Name,Poa glauca-Ranunculus pedatifidus,"Moist and dry acidic dwarf-shrub heaths (Vaccinium uliginosum, Empetrum nigrum, Ledum decumbens, some Betula nana-lichen heaths)",42,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-48_plot.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-48_soils.jpg,,"Abietinella abietina, Anemone lithophila, Anticlea elegans, Arnica angustifolia s. alpina, Artemisia arctica, Bistorta plumosa, Bistorta vivipara, Bromopsis pumpelliana, Bryum species, Bupleurum triradiatum, Calamagrostis purpurascens s. purpurascens, Carex obtusata, Cerastium beeringianum, Cladonia pyxidata, Draba species, Dryas octopetala, Encalypta procera, Flavocetraria cucullata, Kobresia myosuroides, Lecanora epibryon, Luzula confusa, Luzula multiflora, Micranthes hieraciifolia, Micranthes nivalis, Minuartia obtusiloba, Pedicularis capitata, Peltigera canina, Plagiomnium ellipticum, Poa glauca, Pohlia cruda, Polytrichum juniperinum, Potentilla nivea, Ranunculus arcticus, Rhytidium rugosum, Sagina nivalis, Salix glauca, Salix reticulata, Saxifraga tricuspidata, Solorina bispora, Stellaria longipes taxon laeta, Tephroseris frigida, Thalictrum alpinum"
49,SWT-49,49,19890810,1989,Toolik Lake vegetation (Walker and Barry 1991),Donald A. 'Skip' Walker,68.634985,-149.636862,Braun-Blanquet Name,Carici microchaetae-Cassiopetum tetragonae Walker et al. 1994,Aquatic grass  marshes (Arctophila fulva),48,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-49_plot.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-49_plotclose-up.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-49_soils.jpg,"Alectoria ochroleuca, Arctocetraria andrejevii, Asahinea chrysantha, Aulacomnium turgidum, Betula nana, Bistorta plumosa, Bryocaulon divergens, Calamagrostis inexpansa, Carex microchaeta, Carex scirpoidea, Cassiope tetragona [s. tetragona], Cetraria islandica, Cladonia amaurocraea, Cladonia arbuscula s. lat., Cladonia gracilis s. lat., Cladonia pyxidata, Cladonia rangiferina, Dactylina arctica, Diapensia obovata, Dicranum elongatum, Dicranum scoparium, Dicranum spadiceum, Equisetum scirpoides, Flavocetraria cucullata, Flavocetraria nivalis, Geum glaciale, Huperzia appressa, Hylocomium splendens, Masonhalea richardsonii, Minuartia arctica, Nephroma arcticum, Orthilia obtusata, Pedicularis capitata, Peltigera aphthosa, Peltigera canina, Pohlia cruda, Polytrichum strictum, Psoroma hypnorum, Pyrola grandiflora, Racomitrium lanuginosum, Rhododendron tomentosum s. decumbens, Saussurea angustifolia, Silene acaulis, Sphaerophorus globosus, Sphenolobus minutus, Tetralophozia setiformis, Thamnolia vermicularis s. subuliformis, Vaccinium vitis-idaea s. minus"
50,SWT-50,50,19890810,1989,Toolik Lake vegetation (Walker and Barry 1991),Donald A. 'Skip' Walker,68.63505,-149.636556,Braun-Blanquet Name,Carici microchaetae-Cassiopetum tetragonae Walker et al. 1994,"Dry acidic prostrate-shrub heaths (Arctous alpina, Salix phlebophylla, Empetrum heaths)",43,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-50_plot.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-50_plotclose-up.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-50_soils.jpg,"Anemone richardsonii, Arnica angustifolia s. alpina, Aulacomnium palustre, Aulacomnium turgidum, Bistorta plumosa, Boykinia richardsonii, Cardamine digitata, Carex microchaeta, Carex scirpoidea, Cassiope tetragona [s. tetragona], Cetraria islandica, Dactylina arctica, Dicranum scoparium, Dicranum spadiceum, Festuca rubra, Hylocomium splendens, Luzula confusa, Luzula multiflora, Luzula nivalis, Masonhalea richardsonii, Micranthes nelsoniana, Micranthes nivalis, Nephroma arcticum, Papaver macounii, Parnassia palustris, Parrya nudicaulis, Pedicularis capitata, Pedicularis interior, Peltigera aphthosa, Peltigera canina, Poa pratensis s. alpigena, Polytrichum juniperinum, Racomitrium lanuginosum, Salix reticulata, Salix rotundifolia v. rotundifolia, Sanionia uncinata, Saussurea angustifolia, Sphagnum species, Stellaria longipes taxon laeta, Stereocaulon alpinum, Tephroseris frigida, Tofieldia pusilla, Tomentypnum nitens"
51,SWT-51,51,19890810,1989,Toolik Lake vegetation (Walker and Barry 1991),Donald A. 'Skip' Walker,68.635137,-149.636557,Field Name,Salix rotundifolia-Hylocomium splendens,"Moist and dry acidic dwarf-shrub heaths (Vaccinium uliginosum, Empetrum nigrum, Ledum decumbens, some Betula nana-lichen heaths)",52,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-51_plot.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-51_soils.jpg,,"Anemone richardsonii, Arctagrostis latifolia, Aulacomnium palustre, Bistorta plumosa, Bistorta vivipara, Boykinia richardsonii, Brachythecium groenlandicum, Bryum pseudotriquetrum, Campylium stellatum, Cardamine digitata, Carex bigelowii, Carex microchaeta, Cassiope tetragona [s. tetragona], Cirriphyllum cirrosum, Climacium dendroides, Cyrtomnium hymenophyllum, Dactylina arctica, Dodecatheon frigidum, Draba lactea, Dryas integrifolia, Equisetum arvense, Eriophorum triste, Hylocomium splendens, Luzula nivalis, Masonhalea richardsonii, Micranthes nelsoniana, Mnium blyttii, Mnium spinosum, Orthilia obtusata, Papaver macounii, Parnassia kotzebuei, Parrya nudicaulis, Pedicularis capitata, Pedicularis lanata, Pedicularis langsdorffii s. arctica, Peltigera aphthosa, Peltigera canina, Petasites frigidus, Polemonium acutiflorum, Polytrichum juniperinum, Pyrola grandiflora, Salix reticulata, Salix rotundifolia v. rotundifolia, Sanionia uncinata, Saxifraga hirculus s. propinqua, Schljakovianthus quadrilobus, Sphagnum rubellum, Stellaria longipes taxon laeta, Stereocaulon alpinum, Tephroseris frigida, Tofieldia pusilla, Tomentypnum nitens"
52,SWT-52,52,19890810,1989,Toolik Lake vegetation (Walker and Barry 1991),Donald A. 'Skip' Walker,68.635267,-149.636729,Braun-Blanquet Name,Dryado integrifoliae-Caricetum bigelowii equisetosum arvensis Walker et al. 1994,Dry nonacidic alpine tundra (Dryas octopetala),64,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-52_plot.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-52_plotclose-up.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-52_soils.jpg,"Anemone richardsonii, Arctagrostis latifolia, Arnica lessingii, Aulacomnium acuminatum, Aulacomnium palustre, Aulacomnium turgidum, Barbilophozia barbata, Betula nana, Bistorta plumosa, Bistorta vivipara, Boykinia richardsonii, Bryum species, Carex bigelowii, Carex scirpoidea, Cassiope tetragona [s. tetragona], Cetraria islandica, Cladonia amaurocraea, Cladonia gracilis s. lat., Cladonia rangiferina, Dactylina arctica, Dicranum spadiceum, Ditrichum flexicaule, Dodecatheon frigidum, Dryas integrifolia, Equisetum arvense, Equisetum scirpoides, Eriophorum triste, Eutrema edwardsii, Flavocetraria cucullata, Gentiana prostrata, Hylocomium splendens, Luzula nivalis, Lyellia aspera, Masonhalea richardsonii, Micranthes nelsoniana, Orthilia obtusata, Papaver macounii, Parnassia kotzebuei, Parrya nudicaulis, Pedicularis capitata, Pedicularis langsdorffii s. arctica, Pedicularis oederi, Peltigera aphthosa, Peltigera species, Petasites frigidus, Pohlia cruda, Polytrichum juniperinum, Polytrichum strictum, Ptilidium ciliare, Pyrola grandiflora, Rhizomnium andrewsianum, Salix arctica, Salix reticulata, Salix rotundifolia v. rotundifolia, Sanionia uncinata, Saussurea angustifolia, Saxifraga hirculus s. propinqua, Stellaria longipes taxon laeta, Stereocaulon alpinum, Tephroseris frigida, Thamnolia vermicularis s. subuliformis, Tomentypnum nitens, Tritomaria quinquedentata, Vaccinium uliginosum"
53,SWT-53,53,19890810,1989,Toolik Lake vegetation (Walker and Barry 1991),Donald A. 'Skip' Walker,68.635407,-149.636651,Braun-Blanquet Name,Dryado integrifoliae-Caricetum bigelowii caricetosum membranaceae Walker et al. 1994,"Moist and dry acidic dwarf-shrub heaths (Vaccinium uliginosum, Empetrum nigrum, Ledum decumbens, some Betula nana-lichen heaths)",56,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-53_plot.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-53_plotclose-up.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-53_soils.jpg,"Andromeda polifolia, Arctous rubra, Asahinea chrysantha, Aulacomnium turgidum, Betula nana, Bistorta plumosa, Carex bigelowii, Cassiope tetragona [s. tetragona], Cladonia amaurocraea, Cladonia arbuscula s. lat., Cladonia gracilis s. lat., Cladonia rangiferina, Cladonia uncialis, Dactylina arctica, Dicranum groenlandicum, Dicranum spadiceum, Dryas integrifolia, Equisetum arvense, Eriophorum triste, Eriophorum vaginatum, Eutrema edwardsii, Flavocetraria cucullata, Flavocetraria nivalis, Hylocomium splendens, Luzula nivalis, Lyellia aspera, Masonhalea richardsonii, Meesia uliginosa, Orthilia obtusata, Orthocaulis binsteadii, Paludella squarrosa, Pedicularis capitata, Pedicularis langsdorffii s. arctica, Peltigera aphthosa, Peltigera canina, Polytrichum juniperinum, Pyrola grandiflora, Rhododendron tomentosum s. decumbens, Rhytidium rugosum, Rubus chamaemorus, Salix arctica, Salix chamissonis, Salix glauca, Salix pulchra, Salix reticulata, Sphagnum girgensohnii, Sphagnum lenense, Sphagnum rubellum, Sphagnum warnstorfii, Stellaria longipes taxon laeta, Stereocaulon alpinum, Thamnolia vermicularis s. subuliformis, Tomentypnum nitens, Tritomaria quinquedentata, Vaccinium uliginosum, Vaccinium vitis-idaea s. minus"
54,SWT-54,54,19890810,1989,Toolik Lake vegetation (Walker and Barry 1991),Donald A. 'Skip' Walker,68.635642,-149.636713,Braun-Blanquet Name,Sphagno-Eriophoretum vaginati typicum Walker et al. 1994,Moist to wet acidic low-shrub heaths (wet to moist Betula nana-Sphagnum heaths),62,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-54_plot.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-54_plotclose-up.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-54_soils.jpg,"Andromeda polifolia, Arctous rubra, Aulacomnium palustre, Aulacomnium turgidum, Betula nana, Bistorta plumosa, Blepharostoma trichophyllum v. brevirete, Carex bigelowii, Cassiope tetragona [s. tetragona], Cetraria islandica, Cladonia amaurocraea, Cladonia arbuscula s. lat., Cladonia chlorophaea, Cladonia gracilis s. lat., Cladonia rangiferina, Dactylina arctica, Dicranum groenlandicum, Dicranum scoparium, Dicranum spadiceum, Dryas integrifolia, Empetrum nigrum, Equisetum arvense, Eriophorum triste, Eriophorum vaginatum, Flavocetraria cucullata, Flavocetraria nivalis, Hylocomium splendens, Icmadophila ericetorum, Limprichtia revolvens, Loeskypnum badium, Meesia triquetra, Meesia uliginosa, Micranthes nelsoniana, Nephroma arcticum, Ochrolechia upsaliensis, Orthilia obtusata, Orthocaulis binsteadii, Orthothecium chryseum, Paludella squarrosa, Pedicularis capitata, Pedicularis lapponica, Peltigera aphthosa, Peltigera polydactylon, Peltigera scabrosa, Plagiomnium medium, Ptilidium ciliare, Pyrola grandiflora, Rhododendron tomentosum s. decumbens, Rhytidium rugosum, Rubus chamaemorus, Salix pulchra, Salix reticulata, Sphagnum contortum, Sphagnum lenense, Sphagnum rubellum, Sphagnum warnstorfii, Stellaria longipes taxon laeta, Tephroseris frigida, Tomentypnum nitens, Tritomaria quinquedentata, Vaccinium uliginosum, Vaccinium vitis-idaea s. minus"
